country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080,981,836,704,557,518,547,585,584,589,612,651,647,687,717,715,742,800,839,855,824,827,876,927,959,977,986,1030
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,676,706,725,769,823,849,919,962,1040,1070,1130,1220,1310,1400,1490,1570,1630
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5180,5360,5900,6340,6450,6930,7500,8120,8830,9520,10800,12000,13200,13100,12400,11500,12300,12800,13400,13700,14200,14700,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6620,6970,7160,6890,7010,6910,6880,6720,6320,5360,6360,6540,6640,7370,7970,8450,8740,8400,8070,7720,7360,7090,7010,7200
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1430,1490,1440,1480,1470,1500,1490,1480,1510,1550,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299,259,245,151,229,235,241,265,270,279,282,307,305,324,319,316,304,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12100,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119000,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9440,10400,11300,12400,12900,11800,11800,12500,13300,13900,14700,14700,15300,
Luxembourg,,,,,,,,,,,36200,36800,39100,41300,42400,41400,43400,44300,45700,45600,44700,43200,48300,52700,54900,57200,60600,62900,67100,74300,79000,84600,85400,85400,84500,87400,87200,93400,95500,99700,107000,111000,104000,97500,108000,115000,112000,133000,124000,92900,75900,72400,70800,68600,68300,70300,73500,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3810,3600,3310,3080,3050,3030,3050,3070,3150,3250,3390,3300,3330,3400,3570,3690,3930,4000,4370,4370,4480,4560,4520,4640,4830,4940,5030,5010
Madagascar,690,688,686,663,672,653,673,693,721,724,744,750,723,684,675,666,628,628,594,632,619,537,510,497,481,476,470,456,454,458,474,422,422,420,403,397,397,405,410,419,422,436,368,393,400,408,416,433,451,419,408,401,395,393,397,394,399,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348,358,367,370,376,402,420,438,452,460,451,458,470,468,468,473
Malaysia,1300,1380,1430,1480,1510,1570,1650,1700,1790,1810,1890,2010,2160,2330,2450,2430,2630,2760,2850,3030,3200,3360,3440,3510,3660,3520,3500,3580,3840,4070,4370,4630,4900,5270,5610,6010,6440,6700,6040,6160,6480,6440,6690,7000,7340,7640,8040,8450,8610,8420,8780,9150,9350,9650,10100,10400,10700,11200
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6250,,,,,,,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,527,497,501,500,488,509,519,545,564,550,593,585,637,627,647,651,659,671,678,681,683,654,658,684,705,719,738
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17900,18400,18800,18900,18900,19000,19200,19900,20600,19100,20000,20600,20800,21400,22600,24400,24600,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3680,3820,3820,3940,3810,3730,3800,3850,3830,4020,4190,4490,,
Mauritania,,,,,,,,,1160,1100,1230,1210,1170,1120,1240,1080,1060,1060,1070,1090,1110,1080,1030,1020,988,968,981,974,978,1010,965,973,968,990,932,995,1090,1010,1010,1060,1010,969,1010,1040,1060,1120,1220,1230,1230,1210,1180,1180,1200,1250,1290,1260,1270,1290
Mauritius,,,,,,,,,,,,,,,,,2370,2450,2500,2530,2230,2280,2380,2370,2440,2590,2830,3100,3300,3460,3680,3840,4050,4190,4270,4430,4600,4830,5060,5130,5530,5680,5760,5880,6200,6250,6790,7290,7570,7660,8100,8350,8620,8880,8960,9410,9780,
Mexico,3730,3790,3860,4040,4360,4510,4620,4830,5130,5140,5290,5320,5570,5830,5970,6100,6170,6200,6570,7020,7460,7870,7420,7040,7170,7270,6810,6860,6870,7040,7280,7470,7600,7810,7970,6910,7380,7770,7990,8210,8500,8310,8240,8410,8710,8770,9020,9340,9330,8730,9050,9150,9270,9170,9350,9500,9530,9720
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2960,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1070,1060,1070,1000,967,986,1100,1190,1330,1450,1550,1620,1640,1770,1610,1770,1890,1930,2100,2190,2120,2220,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2440,2790,3090,3470,3580,3600,3640,3460
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5200,5270,5370,5480,5680,5670,6190,6560,7040,6530,6640,6950,6820,7070,7150,7480,7610,8000
Morocco,,,,,,,804,866,927,984,1020,1050,1050,1060,1100,1160,1250,1290,1280,1310,1320,1250,1330,1310,1370,1400,1530,1490,1620,1640,1670,1760,1690,1640,1800,1670,1860,1810,1920,1920,1930,2050,2100,2200,2290,2350,2490,2560,2680,2730,2800,2890,2930,3040,3040,3150,3150,3230
Mozambique,,,,,,,,,,,,,,,,,,,,,192,195,176,145,132,131,127,143,158,164,167,171,153,161,164,164,205,222,242,258,248,272,264,298,307,324,334,353,369,394,405,430,451,470,487,499,501,499
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,987,,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,,3650,4070,3880,3870,3660,3010,3220,3620,3260,3380,3550,3770,3820,3700,3630,3760,3690,3720,3750,3680,3780,3720,3890,4140,4450,4390,4680,4880,4950,4880,4990,5210,5270,5640,5890,6090,5880,5760
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5720,,,,,,,
